Strand,Pillar,Domain,Skill Area,Skill Set,Skill Subset,Skill Subset Annotation
Bridging Processes,Graphophonological-Semantic Flexibility,Semantic-Phonological Integration in Vocabulary Learning,Vocabulary Reinforcement,Cross-linguistic Application,Applying Phonological Knowledge Across Languages,"The skill of using phonological knowledge to understand word pronunciations across different languages. For example, applying English phonological knowledge to learn French pronunciations, reinforcing understanding through similarities and differences."
Bridging Processes,Graphophonological-Semantic Flexibility,Semantic-Phonological Integration in Vocabulary Learning,Vocabulary Reinforcement,Cross-linguistic Application,Recognizing Cross-linguistic Semantic Connections,"The skill of identifying and using cognates across languages to enhance vocabulary learning. For instance, recognizing that 'information' in English and 'información' in Spanish have the same meaning and similar pronunciation."
Bridging Processes,Graphophonological-Semantic Flexibility,Semantic-Phonological Integration in Vocabulary Learning,Vocabulary Reinforcement,Reinforcing Word Learning Through Multiple Modalities,Phonological Practice in Vocabulary Reinforcement,"The skill of reinforcing vocabulary through phonological practice. For instance, repeatedly pronouncing new words to enhance retention."
Bridging Processes,Graphophonological-Semantic Flexibility,Semantic-Phonological Integration in Vocabulary Learning,Vocabulary Reinforcement,Reinforcing Word Learning Through Multiple Modalities,Semantic Usage in Vocabulary Reinforcement,"The ability to reinforce vocabulary by using new words in meaningful contexts. For instance, using 'metamorphosis' in sentences related to the life cycle of insects to reinforce understanding."
Bridging Processes,Parsing and Integration,Syntactic Parsing During Reading,Clause and Sentence Parsing,Build Online Syntactic Structure,Build Online Syntactic Structure,The ability to parse clauses and sentences during reading to support integration and prediction.
Bridging Processes,Parsing and Integration,Syntactic Parsing During Reading,Repair and Reanalysis,Repair Misparses During Reading,Repair Misparses During Reading,The ability to detect and repair syntactic misparses during reading.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Comparative and Superlative Forms,Adjective Comparisons,Comparative Adjectives,"The ability to recognize and understand comparative adjective forms, such as 'bigger,' 'more beautiful,' 'better.'"
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Comparative and Superlative Forms,Adjective Comparisons,Superlative Adjectives,"The ability to recognize and understand superlative adjective forms, such as 'biggest,' 'most beautiful,' 'best.'"
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Comparative and Superlative Forms,Adverb Comparisons,Comparative Adverbs,"The ability to recognize and understand comparative adverb forms, such as 'more quickly,' 'faster,' 'better.'"
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Comparative and Superlative Forms,Adverb Comparisons,Superlative Adverbs,"The ability to recognize and understand superlative adverb forms, such as 'most quickly,' 'fastest,' 'best.'"
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Manipulation,Constructing Words,Constructing Words by Adding Prefixes,The skill of creating words by adding the prefix 'un-' to appropriate root words.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Manipulation,Constructing Words,Constructing Words by Adding Suffixes,The skill of creating words by adding the suffix '-able' to appropriate root words.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Manipulation,Deconstructing Words,Analyzing Affix,The skill of identifying 'un-' and '-ness' as the affixes in 'unhappiness'.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Manipulation,Deconstructing Words,Analyzing Root,The skill of identifying 'happy' as the root word in 'unhappiness'.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Manipulation,Deconstructing Words,Breaking Down Complex Words,"The skill of breaking down 'disagreeable' into its morphemes: 'dis-', 'agree', and '-able'."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Recognition,Identifying Prefixes,Identifying Common Prefixes,"The skill of recognizing the prefix 'un-' and understanding its meaning as 'not' (e.g., 'unhappy')."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Recognition,Identifying Prefixes,Identifying Less Common Prefixes,"The skill of recognizing the prefix 'sub-' and understanding its meaning as 'under' (e.g., 'submarine')."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Recognition,Identifying Root Words,Identifying Compound Root Words,The skill of recognizing 'bookworm' as a compound root word.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Recognition,Identifying Root Words,Identifying Simple Root Words,The skill of recognizing 'happy' as a root word.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Recognition,Identifying Suffixes,Identifying Common Suffixes,"The skill of recognizing the suffix '-able' and understanding its meaning as 'capable of being' (e.g., 'readable')."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morpheme Recognition,Identifying Suffixes,Identifying Less Common Suffixes,"The skill of recognizing the suffix '-ize' and understanding its meaning related to making or becoming (e.g., 'finalize')."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Application in Reading,Applying Morphological Knowledge in Reading,Comprehending Morphologically Dense Texts,Using morphological knowledge to comprehend specialized academic texts.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Application in Reading,Applying Morphological Knowledge in Reading,Decoding Complex Texts,Applying knowledge of root words to infer meanings of complex words within texts.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Application in Writing,Constructing Complex Sentences,Constructing Sentences with Derived Words,"The skill of utilizing derived words, which are formed by adding prefixes or suffixes to root words, to craft sentences that convey detailed and nuanced meanings. For example: 'Her unhappiness became unavoidable after the department's announcement' uses the derived words 'unhappiness', 'unavoidable', and 'announcement' to add depth and detail."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Application in Writing,Constructing Complex Sentences,Using Multiple Morphemes in Sentences,"The ability to combine several morphemes within sentences to articulate more sophisticated and nuanced concepts. For example: 'The disagreement about the redevelopment project revealed underlying unhappiness in the community' combines multiple morphemes like 'dis-', 'agree-', 'ment', 're-', 'develop-', 'ment', 'under-', and 'happy'."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Application in Writing,Writing with Morphological Variation,Using Variety of Prefixes,"The skill of using different prefixes to modify words and enhance written language. For example, adding 're-' to 'build' to form 'rebuild' or 'un-' to 'happy' to form 'unhappy.'"
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Application in Writing,Writing with Morphological Variation,Using Variety of Suffixes,"The skill of using different suffixes to create more expressive and detailed written language. For example, adding '-able' to 'enjoy' to form 'enjoyable' or '-ness' to 'happy' to form 'happiness.'"
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Spelling and Pronunciation,Pronunciation with Morphemes,Pronouncing Derived Words,Applying knowledge to pronounce 'happiness' correctly.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Spelling and Pronunciation,Pronunciation with Morphemes,Pronouncing Inflected Words,Applying knowledge to pronounce past tense verbs like 'walked.'
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Spelling and Pronunciation,Spelling with Morphemes,Spelling Derived Words,Applying knowledge of the suffix '-ment' to spell words like 'development.'
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Morphological Spelling and Pronunciation,Spelling with Morphemes,Spelling Inflected Words,Applying knowledge of plural formation to spell words like 'cats.'
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Understanding Morphemic Meanings,Interpreting Prefixes and Suffixes,Interpreting Prefix Meanings,Understanding how 'un-' changes the meaning of root words to indicate negation.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Understanding Morphemic Meanings,Interpreting Prefixes and Suffixes,Interpreting Suffix Meanings,Understanding how '-able' indicates the capability or suitability of an action or thing.
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Understanding Morphemic Meanings,Recognizing Inflectional and Derivational Morphemes,Recognizing Derivational Morphemes,"Understanding how '-ness' transforms adjectives into nouns (e.g., 'happy' to 'happiness')."
Bridging Processes,Vocabulary Knowledge,Morphological Awareness,Understanding Morphemic Meanings,Recognizing Inflectional and Derivational Morphemes,Recognizing Inflectional Morphemes,Identifying and understanding the use of plural '-s' in nouns.
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Context Clues,Inferring Meaning from Context,Confirming Inferences Through Contextual Application,The skill of validating inferred meanings of words by applying them within context. For example: Validating the inferred meaning of 'benevolent' by using it correctly in another context.
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Context Clues,Inferring Meaning from Context,"Differentiating Between Context Types (i.e., synonyms, antonyms, definitions)","The ability to distinguish between different types of context clues, such as synonyms, antonyms, and definitions. For example: 'The swift (fast) runner won the race' (definition)."
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Context Clues,Inferring Meaning from Context,Practicing Logical Guessing,"The ability to make educated guesses about the meanings of unfamiliar words based on context. For example: Making an educated guess that 'benevolent' means kind by reading, 'The benevolent man shared his wealth.'"
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Memory Techniques,Flashcard Practice,Making Effective Flashcards,The skill of creating flashcards that effectively aid in the learning and recalling of vocabulary. For example: Creating flashcards with the word on one side and its definition and usage example on the other.
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Memory Techniques,Flashcard Practice,Using Flashcards for Repeated Learning,"The ability to use flashcards as a tool for repeated practice and reinforcement of vocabulary. For example: Using flashcards regularly for practice and reinforcement, reviewing them multiple times."
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Memory Techniques,Mnemonic Device,Creating Mnemonics,"The skill of devising mnemonic devices to aid in the memorization of vocabulary, like 'HOMES' to remember the Great Lakes (Huron, Ontario, Michigan, Erie, Superior)."
Bridging Processes,Vocabulary Knowledge,Word Learning Strategies,Memory Techniques,Mnemonic Device,Memory Reinforcement Techniques,"The ability to employ techniques that reinforce vocabulary retention in memory, like repeating words and using them in sentences to reinforce memory."
Language Comprehension,Background Knowledge,Knowledge Dimensions,Cultural and Contextual Knowledge,Cultural Practices and References,Cultural Practices and References,"Awareness of cultural practices, references, and contexts that inform interpretation of texts."
Language Comprehension,Background Knowledge,Knowledge Dimensions,Disciplinary Knowledge,Content and Genre Conventions,Understanding Discipline-specific Content and Genre Conventions,"Knowledge of subject-matter concepts and how narratives, informational texts, and arguments are structured across disciplines."
Language Comprehension,Background Knowledge,Knowledge Dimensions,World Knowledge,General World Knowledge,Understanding Common World Concepts,"General knowledge of people, places, events, and everyday concepts that support text understanding across genres."
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Creating Digital Content,Writing Blog Posts,The ability to produce written content for blogs with appropriate formatting and style
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Creating Digital Content,Creating Multimedia Presentations,"The ability to develop presentations using text, images, audio, and video"
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Creating Digital Content,Producing Videos,"The ability to plan, film, and edit videos"
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Creating Digital Content,Using Graphic Design Tools,The ability to create digital graphics using tools like Canva or Photoshop
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Digital Collaboration,Using Collaborative Tools,"The ability to use digital tools like Google Docs, Trello for collaborative work"
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Digital Collaboration,Coordinating Group Projects Online,The ability to effectively manage and coordinate group projects using digital platforms
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Digital Collaboration,Managing Shared Resources,The ability to organize and manage shared digital resources
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Digital Communication,Using Digital Communication Tools,"The proficient use of various digital communication tools including emails, chats, and video conferencing"
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Digital Communication,Understanding Digital Etiquette,The practice of appropriate and effective communication habits online
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Evaluating Online Information,Distinguishing Reliable from Unreliable Information,The ability to differentiate factual information from misinformation
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Evaluating Online Information,Fact-checking Online Sources,The ability to verify information using multiple reliable sources
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Internet Safety,Understanding Privacy Settings,The ability to manage privacy settings on digital platforms to safeguard personal information
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Internet Safety,Recognizing Phishing Attempts,The ability to identify fraudulent attempts to obtain sensitive information
Language Comprehension,Background Knowledge,21st-Century Knowledge,Digital Literacy,Internet Safety,Practicing Safe Browsing,The ability to recognize and avoid unsafe websites and links
Language Comprehension,Background Knowledge,21st-Century Knowledge,Information Literacy,Locating Information,Using Search Engines Effectively,The ability to use search engines to find relevant information
Language Comprehension,Background Knowledge,21st-Century Knowledge,Information Literacy,Locating Information,Navigating Databases,The ability to search and navigate academic and professional databases
Language Comprehension,Background Knowledge,21st-Century Knowledge,Information Literacy,Evaluating Information,Assessing Source Credibility,The ability to evaluate the reliability and authority of information sources
Language Comprehension,Background Knowledge,21st-Century Knowledge,Information Literacy,Evaluating Information,Identifying Bias in Sources,The ability to recognize potential bias in information sources
Language Comprehension,Background Knowledge,21st-Century Knowledge,Information Literacy,Organizing Information,Creating Information Systems,The ability to organize and categorize information effectively
Language Comprehension,Background Knowledge,21st-Century Knowledge,Information Literacy,Organizing Information,Using Citation Management,The ability to properly cite and manage sources of information
Language Comprehension,Background Knowledge,21st-Century Knowledge,Media Literacy,Analyzing Media Messages,Identifying Persuasive Techniques,The ability to recognize persuasive strategies used in media
Language Comprehension,Background Knowledge,21st-Century Knowledge,Media Literacy,Analyzing Media Messages,Understanding Target Audiences,The ability to identify intended audiences for media messages
Language Comprehension,Background Knowledge,21st-Century Knowledge,Media Literacy,Creating Media Messages,Producing Effective Media Content,The ability to create media that effectively communicates intended messages
Language Comprehension,Background Knowledge,21st-Century Knowledge,Media Literacy,Interpreting Media Impact,Understanding Media Influence,The ability to analyze how media influences public opinion and behavior
Language Comprehension,Background Knowledge,21st-Century Knowledge,Media Literacy,Understanding Media Bias,Recognizing Editorial Bias,The ability to identify bias in news reporting and editorial content
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Basic Scientific Principles,Understanding Scientific Method,Knowledge of how scientific research is conducted and evaluated
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Basic Scientific Principles,Understanding Natural Laws,Knowledge of fundamental scientific principles that govern natural phenomena
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Key Scientific Terms,Understanding Scientific Vocabulary,Knowledge of essential scientific terminology across disciplines
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Major Scientific Discoveries,Understanding Historical Scientific Breakthroughs,Knowledge of significant scientific discoveries and their impact
Language Comprehension,Background Knowledge,Academic Content Knowledge,Mathematics Knowledge,Understanding Basic Mathematical Concepts,Understanding Number Systems,Knowledge of fundamental mathematical concepts and operations
Language Comprehension,Background Knowledge,Academic Content Knowledge,Mathematics Knowledge,Understanding Mathematical Terms,Understanding Mathematical Vocabulary,Knowledge of essential mathematical terminology and symbols
Language Comprehension,Background Knowledge,Academic Content Knowledge,Historical Knowledge,Understanding Major Historical Events,Understanding World History,Knowledge of significant historical events and their contexts
Language Comprehension,Background Knowledge,Academic Content Knowledge,Historical Knowledge,Understanding Historical Figures,Understanding Influential Historical Figures,Knowledge of important historical figures and their contributions
Language Comprehension,Background Knowledge,Academic Content Knowledge,Historical Knowledge,Understanding Historical Timelines,Understanding Chronological Relationships,Knowledge of historical sequence and cause-effect relationships
Language Comprehension,Background Knowledge,Academic Content Knowledge,Geographic Knowledge,Understanding Geographical Features,Understanding Physical Geography,"Knowledge of landforms, climate, and natural features"
Language Comprehension,Background Knowledge,Academic Content Knowledge,Geographic Knowledge,Understanding Continents and Oceans,Understanding World Geography,Knowledge of major geographical divisions and features
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Cultural Practices,Understanding Global Cultural Practices,Knowledge of cultural traditions and practices across different societies
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Cultural Symbols,Understanding Cultural Symbolism,Knowledge of symbols and their meanings within different cultures
Language Comprehension,Background Knowledge,General World Knowledge,Practical Knowledge,Financial Literacy,Understanding Basic Financial Concepts,Knowledge of fundamental financial principles and practices
Language Comprehension,Background Knowledge,General World Knowledge,Practical Knowledge,Health Literacy,Understanding Basic Health Concepts,Knowledge of fundamental health and wellness principles
Language Comprehension,Background Knowledge,General World Knowledge,Social and Emotional Literacy,Self-awareness,Understanding Personal Emotions,The ability to recognize and understand one's own emotions and their effects
Language Comprehension,Background Knowledge,General World Knowledge,Social and Emotional Literacy,Social-awareness,Understanding Others' Emotions,The ability to recognize and understand others' emotions and perspectives
Language Comprehension,Background Knowledge,21st-Century Knowledge,Environmental Literacy,Environmental Issues,Understanding Climate Change,Knowledge of climate change causes and effects
Language Comprehension,Background Knowledge,21st-Century Knowledge,Environmental Literacy,Environmental Issues,Understanding Pollution,Knowledge of different types of pollution and their impact
Language Comprehension,Background Knowledge,21st-Century Knowledge,Environmental Literacy,Understanding Ecosystems,Understanding Biodiversity,Knowledge of ecosystem diversity and interdependence
Language Comprehension,Background Knowledge,21st-Century Knowledge,Environmental Literacy,Sustainable Practices,Understanding Conservation,Knowledge of environmental conservation practices
Language Comprehension,Background Knowledge,21st-Century Knowledge,Environmental Literacy,Advocacy and Action,Environmental Problem-Solving,The ability to develop solutions for environmental challenges
Language Comprehension,Background Knowledge,Academic Content Knowledge,Cross-disciplinary Knowledge,Understanding Interdisciplinary Connections,Understanding STEM Integration,Knowledge of how science technology engineering and mathematics connect
Language Comprehension,Background Knowledge,Academic Content Knowledge,Cross-disciplinary Knowledge,Understanding Interdisciplinary Humanities,Understanding Humanities Integration,Knowledge of how history literature arts and social sciences connect
Language Comprehension,Background Knowledge,Academic Content Knowledge,Geographic Knowledge,Understanding Climate Zones,Understanding Global Climate Patterns,Knowledge of different climate zones and their characteristics
Language Comprehension,Background Knowledge,Academic Content Knowledge,Geographic Knowledge,Understanding and Interpreting Maps,Understanding Cartographic Skills,Knowledge of map reading and interpretation skills
Language Comprehension,Background Knowledge,Academic Content Knowledge,Historical Knowledge,Understanding Cause and Effect in History,Understanding Historical Causation,Knowledge of how historical events influence subsequent developments
Language Comprehension,Background Knowledge,Academic Content Knowledge,Historical Knowledge,Understanding Major Socio-Political Movements,Understanding Social Movements,Knowledge of major social and political movements throughout history
Language Comprehension,Background Knowledge,Academic Content Knowledge,Mathematics Knowledge,Understanding Historical Mathematical Developments,Understanding Mathematical History,Knowledge of the development of mathematical concepts over time
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Data From Experiments,Understanding Scientific Data Analysis,Knowledge of how to interpret experimental data and results
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Environmental Science Concepts,Understanding Environmental Science,Knowledge of environmental science principles and concepts
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Historical Science Figures,Understanding Scientific History,Knowledge of important scientists and their contributions
Language Comprehension,Background Knowledge,Academic Content Knowledge,Science Knowledge,Understanding Scientific Methodologies,Understanding Research Methods,Knowledge of scientific research methods and processes
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Cultural Artefacts and Symbols,Understanding Cultural Symbols,Knowledge of symbols and artifacts across cultures
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Current Local And Global Events,Understanding Current Events,Knowledge of contemporary local and global developments
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Influential Cultural Figures,Understanding Cultural Leaders,Knowledge of important cultural and intellectual figures
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Languages,Understanding Linguistic Diversity,Knowledge of language families and linguistic diversity
Language Comprehension,Background Knowledge,General World Knowledge,Cultural Knowledge,Understanding Traditions,Understanding Cultural Traditions,Knowledge of traditional practices across cultures
Language Comprehension,Background Knowledge,General World Knowledge,Personal and Experiential Knowledge,Understanding Intercultural Interactions,Understanding Cross-Cultural Communication,Knowledge of effective intercultural communication
Language Comprehension,Background Knowledge,General World Knowledge,Personal and Experiential Knowledge,Understanding Personal Challenges,Understanding Personal Growth,Knowledge of personal development and challenge resolution
Language Comprehension,Background Knowledge,General World Knowledge,Personal and Experiential Knowledge,Understanding Personal Relationships,Understanding Relationship Dynamics,Knowledge of healthy relationship patterns and communication
Language Comprehension,Background Knowledge,General World Knowledge,Practical Knowledge,Basic Legal Literacy,Understanding Legal Concepts,Knowledge of basic legal principles and rights
Language Comprehension,Background Knowledge,General World Knowledge,Practical Knowledge,Emergency Preparedness,Understanding Safety Procedures,Knowledge of emergency response and safety protocols
Language Comprehension,Background Knowledge,General World Knowledge,Practical Knowledge,Numeracy,Understanding Quantitative Reasoning,Knowledge of basic mathematical reasoning in daily life
Language Comprehension,Background Knowledge,General World Knowledge,Social and Emotional Literacy,Relationship Skills,Understanding Social Interaction,Knowledge of effective social interaction and relationship building
Language Comprehension,Background Knowledge,General World Knowledge,Social and Emotional Literacy,Responsible Decision-making,Understanding Ethical Decision-Making,Knowledge of ethical reasoning and responsible choice-making
Language Comprehension,Background Knowledge,General World Knowledge,Social and Emotional Literacy,Self-management,Understanding Self-Regulation,Knowledge of emotional and behavioral self-regulation strategies
Language Comprehension,Background Knowledge,General World Knowledge,Societal Knowledge,Understanding Community Practices,Understanding Civic Engagement,Knowledge of community participation and civic responsibility
Language Comprehension,Background Knowledge,General World Knowledge,Societal Knowledge,Understanding Social Structures,Understanding Social Organization,Knowledge of how societies organize and function
Language Comprehension,Comprehension,Comprehension Monitoring,Monitoring and Repair,Detecting Breakdowns,Detecting Comprehension Breakdowns,The ability to recognize loss of understanding during reading and indicate a need for repair.
Language Comprehension,Comprehension,Comprehension Monitoring,Monitoring and Repair,Restoring Understanding,Restoring Understanding,The ability to restore understanding by rereading or consulting supports (strategy routines are defined elsewhere).
Language Comprehension,Comprehension,Levels of Understanding,Evaluative Understanding,Evaluating Claims and Quality,Evaluating Claims and Quality,"The ability to critique ideas, arguments, and textual quality using evidence and reasoning."
Language Comprehension,Comprehension,Levels of Understanding,Inferential Understanding,Drawing Inferences,Drawing Inferences,The ability to integrate textual evidence with background knowledge to infer unstated meanings.
Language Comprehension,Comprehension,Levels of Understanding,Literal Understanding,Identifying Explicit Information,Identifying Explicit Information,The ability to retrieve and paraphrase explicitly stated information in text.
Language Comprehension,Comprehension,Comprehension Strategies,Before Reading,Activating Prior Knowledge,Connecting to Background Knowledge,The ability to activate relevant background knowledge before reading to support comprehension.
Language Comprehension,Comprehension,Comprehension Strategies,Before Reading,Previewing Text,Scanning Text Structure and Features,"The ability to preview text structure, headings, and features to prepare for reading."
Language Comprehension,Comprehension,Comprehension Strategies,During Reading,Monitoring Understanding,Self-Monitoring Comprehension,The ability to monitor one's understanding while reading and recognize when comprehension breaks down.
Language Comprehension,Comprehension,Comprehension Strategies,During Reading,Making Connections,Connecting Ideas Within and Across Texts,The ability to make connections between ideas within a text and across different texts.
Language Comprehension,Comprehension,Comprehension Strategies,After Reading,Summarizing,Creating Text Summaries,The ability to summarize main ideas and key details after reading.
Language Comprehension,Comprehension,Comprehension Strategies,After Reading,Reflecting,Reflecting on Text Meaning and Personal Response,The ability to reflect on text meaning and personal responses to enhance understanding.
Language Comprehension,Language Structure,Morphological Structures,Case Systems,Pronoun Cases,Objective Case,"The ability to recognize and understand objective case pronouns, such as 'me,' 'you,' 'him,' 'her,' 'it,' 'us,' 'them.'"
Language Comprehension,Language Structure,Morphological Structures,Case Systems,Pronoun Cases,Possessive Case,"The ability to recognize and understand possessive case pronouns, such as 'my/mine,' 'your/yours,' 'his,' 'her/hers,' 'its,' 'our/ours,' 'their/theirs.'"
Language Comprehension,Language Structure,Morphological Structures,Case Systems,Pronoun Cases,Subjective Case,"The ability to recognize and understand subjective case pronouns, such as 'I,' 'you,' 'he,' 'she,' 'it,' 'we,' 'they.'"
Language Comprehension,Language Structure,Morphological Structures,Inflectional Patterns,Noun Inflections,Irregular Plural Formation,"The ability to recognize irregular plural forms, such as 'children,' 'mice,' 'feet.'"
Language Comprehension,Language Structure,Morphological Structures,Inflectional Patterns,Noun Inflections,Regular Plural Formation,"The ability to recognize regular plural patterns, such as adding -s or -es to nouns."
Language Comprehension,Language Structure,Morphological Structures,Inflectional Patterns,Verb Inflections,Irregular Past Tense Formation,"The ability to recognize irregular past tense forms, such as 'went,' 'sang,' 'brought.'"
Language Comprehension,Language Structure,Morphological Structures,Inflectional Patterns,Verb Inflections,Regular Past Tense Formation,"The ability to recognize regular past tense formation with -ed, such as 'walked,' 'played.'"
Language Comprehension,Language Structure,Morphological Structures,Possessive Forms,Noun Possessives,Plural Possessive Nouns,"The ability to recognize and use plural possessive forms, such as 'the cats' toys,' 'the children's books.'"
Language Comprehension,Language Structure,Morphological Structures,Possessive Forms,Noun Possessives,Singular Possessive Nouns,"The ability to recognize and use singular possessive forms, such as 'the cat's toy,' 'James's book.'"
Language Comprehension,Language Structure,Morphological Structures,Possessive Forms,Pronoun Possessives,Possessive Determiners,"The ability to recognize and use possessive determiners, such as 'my,' 'your,' 'his,' 'her,' 'its,' 'our,' 'their.'"
Language Comprehension,Language Structure,Morphological Structures,Possessive Forms,Pronoun Possessives,Possessive Pronouns,"The ability to recognize and use possessive pronouns, such as 'mine,' 'yours,' 'his,' 'hers,' 'its,' 'ours,' 'theirs.'"
Language Comprehension,Language Structure,Parts of Speech,Adjectives,Functions of Adjectives,Applying Adjectives in Sentences,The skill of using adjectives correctly to modify nouns within sentences. For example: 'The red car is fast' or 'She wore a beautiful dress.'
Language Comprehension,Language Structure,Parts of Speech,Adjectives,Functions of Adjectives,Combining Adjectives with Nouns,The ability to correctly pair adjectives with nouns to provide detailed descriptions. For example: 'The angry dog' or 'The large elephant.'
Language Comprehension,Language Structure,Parts of Speech,Adjectives,Understanding Adjectives,Recognizing Demonstrative Adjectives,"The ability to identify adjectives that point out specific nouns. For example: 'This book,' 'Those cars.'"
Language Comprehension,Language Structure,Parts of Speech,Adjectives,Understanding Adjectives,Recognizing Descriptive Adjectives,"The skill of identifying adjectives that describe qualities or characteristics of nouns. For example: 'happy child,' 'blue sky.'"
Language Comprehension,Language Structure,Parts of Speech,Adjectives,Understanding Adjectives,Recognizing Quantitative Adjectives,"The ability to identify adjectives that indicate quantity or number. For example: 'three apples,' 'many books.'"
Language Comprehension,Language Structure,Parts of Speech,Adverbs,Functions of Adverbs,Applying Adverbs in Sentences,"The ability to use adverbs correctly to modify verbs, adjectives, or other adverbs within sentences. For example: 'She sings beautifully' or 'He runs quickly.'"
Language Comprehension,Language Structure,Parts of Speech,Adverbs,Functions of Adverbs,Combining Adverbs with Verbs,The skill of pairing adverbs appropriately with verbs to provide detailed information about actions. For example: 'He speaks quietly' or 'They work diligently.'
Language Comprehension,Language Structure,Parts of Speech,Adverbs,Understanding Adverbs,Recognizing Adverbs of Degree,"The skill of identifying adverbs that indicate the intensity or degree of an action or adjective. For example: 'very happy,' 'quite difficult.'"
Language Comprehension,Language Structure,Parts of Speech,Adverbs,Understanding Adverbs,Recognizing Adverbs of Frequency,"The ability to identify adverbs that describe how often an action occurs. For example: 'always,' 'never,' 'often.'"
Language Comprehension,Language Structure,Parts of Speech,Adverbs,Understanding Adverbs,Recognizing Adverbs of Manner,"The ability to identify adverbs that describe the manner in which an action is performed, like 'quickly,' 'slowly,' 'neatly.'"
Language Comprehension,Language Structure,Parts of Speech,Agreement and Usage,Pronoun-Antecedent Agreement,Number and Gender Agreement,"The ability to ensure pronouns agree with their antecedents in number and gender, such as 'Each student should bring his or her book.'"
