CHAIN_ID,CONCEPT_NAME,CHAIN_LENGTH,GRADE_RANGE,AUTHORITY,EXAMPLE_SKILL_ID,EXAMPLE_SKILL_NAME
SB-0211,"read, analyze, and gain increasing familiarity with classical and world literature",2,9-10,Hawai'i Common Core Standards for English Language Arts,f70e8f04-93c1-423f-b196-5280db7b807b,"Read, analyze, and gain increasing familiarity with classical and world literature"
SB-0181,group related ideas logically in paragraphs in fifth-grade informative writing,2,5-6,Pennsylvania Core Standards for English Language Arts,188429b2-f7f8-49f5-a134-48705d4edebd,Group related ideas logically in paragraphs in fifth-grade informative writing
SB-0182,introduce a topic in first-grade informative writing,2,1-3,Pennsylvania Core Standards for English Language Arts,7b11df94-a28c-4900-904c-7ef6b9c2cca5,Introduce a topic in first-grade informative writing
SB-0214,establish and maintain a consistent narrative perspective in seventh-grade narrative writing,2,7-8,Hawai'i Common Core Standards for English Language Arts,ec694b5e-0d21-4b67-a92b-54a14d8ae87e,Establish and maintain a consistent narrative perspective in seventh-grade narrative writing
SB-0157,organize the reasons and evidence logically in seventh-grade argumentative writing,2,7-8,Pennsylvania Core Standards for English Language Arts,8115f5e2-8065-43e9-a90a-e5f9d286444c,Organize the reasons and evidence logically in seventh-grade argumentative writing
SB-0215,use frequently occurring nouns,2,K-1,Hawai'i Common Core Standards for English Language Arts,b2f48c1a-3485-452e-9d6b-51aed8795bfb,Use frequently occurring nouns
SB-0213,sequence connected and related ideas in second-grade informative writing,2,2-3,Hawai'i Common Core Standards for English Language Arts,bd57cbf9-f983-4fb6-b291-9820c9007eff,Sequence connected and related ideas in second-grade informative writing
SB-0001,"distinguish between the shapes of different letters (e.g., pick the letter that is different in <i>s",2,PK-K,Unknown,5b314c9c-a69f-e311-9503-005056801da1,"Distinguish between the shapes of different letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is "
SB-0128,"use knowledge of word relationships (e.g., similarities, contrasts) to clarify the meanings of words",2,4-5,Unknown,7312f61e-e69f-e311-9503-005056801da1,"Use knowledge of word relationships (e.g., similarities, contrasts) to clarify the meanings of words in a text"
SB-0126,determine or clarify the meanings of words and phrases by using a print or online glossary or beginn,2,2-3,Unknown,5812f61e-e69f-e311-9503-005056801da1,Determine or clarify the meanings of words and phrases by using a print or online glossary or beginning dictionary
SB-0033,"understand the relevance of works of the romantic movement, considering their characteristics and th",2,9-10,Unknown,2b6737df-8078-48ed-83f4-e0d8a5da4a42,"Understand the relevance of works of the Romantic movement, considering their characteristics and the context in which they are framed"
SB-0034,"study a range of literary authors, some in depth",2,6-7,Unknown,e640c225-3800-e411-9e54-005056801da1,"Study a range of literary authors, some in depth"
SB-0035,investigate the context of nonfiction texts and draw on this knowledge to support comprehension,2,7-8,Unknown,d23fc225-3800-e411-9e54-005056801da1,Investigate the context of nonfiction texts and draw on this knowledge to support comprehension
SB-0037,maintain meaning when paraphrasing texts read independently,2,2-3,Unknown,4f97d8e5-fffb-4822-bce7-1931f73615c5,Maintain meaning when paraphrasing texts read independently
SB-0038,maintain meaning and logical order when paraphrasing and responding to texts read independently (e.g,2,4-5,Unknown,fc64b7dd-e1b0-4042-a4fc-c356e2b70eff,"Maintain meaning and logical order when paraphrasing and responding to texts read independently (e.g., reading log, journal, book talks)"
SB-0039,monitor and adjust understanding of an informational text by recognizing when comprehension becomes ,2,7-8,Unknown,3212f61e-e69f-e311-9503-005056801da1,Monitor and adjust understanding of an informational text by recognizing when comprehension becomes unclear and applying corrective strategies automat
SB-0041,"with assistance, confirm or correct understanding of a word in context through the use of illustrati",2,1-2,Unknown,fb0ff61e-e69f-e311-9503-005056801da1,"With assistance, confirm or correct understanding of a word in context through the use of illustrations, phonics (e.g., sounding out words, especially"
SB-0043,"select textual evidence based on evaluation of its strength, completeness, and relevance to the anal",2,10-11,Unknown,5e11f61e-e69f-e311-9503-005056801da1,"Select textual evidence based on evaluation of its strength, completeness, and relevance to the analysis of an informational text"
SB-0046,"develop factual, interpretive, and evaluative questions for further exploration of topics addressed ",2,9-10,Unknown,ea397f09-6c20-4f7c-837e-4c2e868f10bd,"Develop factual, interpretive, and evaluative questions for further exploration of topics addressed in informational texts"
SB-0048,"ask relevant literal, interpretive, evaluative, and universal questions of a text and find evidence ",2,7-8,Unknown,2ce05516-4572-4cf9-bbaf-00a9aee2ec17,"Ask relevant literal, interpretive, evaluative, and universal questions of a text and find evidence in the text in order to answer such questions"
SB-0052,"read level sight words automatically (e.g., again, could, every)",2,1-2,Unknown,d60ff61e-e69f-e311-9503-005056801da1,"Read grade-level sight words automatically (e.g., again, could, every)"
SB-0054,determine the central idea of an informational text and explain how it is conveyed with details,2,6-7,Unknown,3c11f61e-e69f-e311-9503-005056801da1,Determine the central idea of an informational text and explain how it is conveyed with details
SB-0055,"with prompting and support, retell key details of an informational text",2,K-1,Unknown,0b11f61e-e69f-e311-9503-005056801da1,"With prompting and support, retell key details of an informational text"
SB-0056,analyze the development of the central idea over the course of an informational text and how details,2,8-9,Unknown,5011f61e-e69f-e311-9503-005056801da1,Analyze the development of the central idea over the course of an informational text and how details support or clarify it
SB-0057,"with prompting and support, identify the main topic of an informational text",2,K-1,Unknown,0911f61e-e69f-e311-9503-005056801da1,"With prompting and support, identify the main topic of an informational text"
SB-0058,"recognize similarities and differences between a print text and an audio, video, or live version of ",2,1-2,Unknown,6c29b50d-4b31-462e-932e-f0a50117c422,"Recognize similarities and differences between a print text and an audio, video, or live version of the text"
SB-0059,"understand the meaning of text in commonly encountered appropriate media (e.g., written, visual, aud",2,1-2,Unknown,3ab65907-9f87-445c-8f92-2421a51f14c4,"Understand the meaning of text in commonly encountered grade-appropriate media (e.g., written, visual, audio, video)"
SB-0060,"with support, identify how media messages are conveyed (e.g., television ad has sound and pictures)",2,K-1,Unknown,95525f7c-59f0-4c8c-9d15-caf9fb7ed144,"With support, identify how media messages are conveyed (e.g., television ad has sound and pictures)"
SB-0061,"use the correct homophones (e.g., feat/feet), homographs (e.g., estimate, conflict), and multiple-me",2,6-8,Unknown,8c12f61e-e69f-e311-9503-005056801da1,"Use the correct homophones (e.g., feat/feet), homographs (e.g., estimate, conflict), and multiple-meaning words (e.g., chief) in writing and speaking "
SB-0063,"determine the correct meanings of homophones (e.g., ascent/assent; gild/guild), homographs (e.g., ar",2,9-10,Unknown,a712f61e-e69f-e311-9503-005056801da1,"Determine the correct meanings of homophones (e.g., ascent/assent; gild/guild), homographs (e.g., articulate, attribute), and multiple-meaning words w"
SB-0065,"distinguish between simple verb tenses (e.g. past, present, future)",2,3-4,Unknown,a11affea-a025-4ffa-8be5-3872475fbf1b,"Distinguish between simple verb tenses (e.g. past, present, future)"
SB-0032,"begin to explore oral tribal history, and develop an understanding of how it presents a historical p",2,3-4,Unknown,7db19789-6599-467f-9cd2-406e9f232ced,"Begin to explore oral tribal history, and develop an understanding of how it presents a historical perspective"
SB-0030,"use a wide range of contextual clues, including understanding increasingly subtle examples, to deter",2,9-10,Unknown,a512f61e-e69f-e311-9503-005056801da1,"Use a wide range of contextual clues, including understanding increasingly subtle examples, to determine or clarify the precise meanings of general ac"
SB-0029,"distinguish between commonly confused voiced and unvoiced consonant sounds (e.g., <i>t</i> [to] and ",2,K-1,Unknown,be829b33-0ab4-4dfd-8817-b08db184b71b,"Distinguish between commonly confused voiced and unvoiced consonant sounds (e.g., <i>t</i> [to] and <i>d</i> [do]; <i>p</i> [pin] and <i>b</i> [bin]; "
SB-0016,analyze and draw conclusions about the author's purpose in light of an informational text's cultural,2,8-9,Unknown,d388d840-13f1-4dd0-b365-163d17d2404e,Analyze and draw conclusions about the author's purpose in light of an informational text's cultural and historical context
SB-0003,analyze multiple interpretations of literary texts by authors who represent diverse world cultures,2,11-12,Unknown,d1baa244-28e9-4866-9c07-c3b3c8d4bd9d,Analyze multiple interpretations of literary texts by authors who represent diverse world cultures
SB-0006,synthesize and make connections between ideas and details in several texts with differing viewpoints,2,9-10,Unknown,1068becb-8a87-4632-8490-ad1cf2141bc9,Synthesize and make connections between ideas and details in several texts with differing viewpoints on the same topic
SB-0007,"with prompting and support, determine how things are alike and different in informational texts on t",2,K-1,Unknown,d011f61e-e69f-e311-9503-005056801da1,"With prompting and support, determine how things are alike and different in informational texts on the same topic (e.g., in illustrations, description"
SB-0008,"analyze how works of literature from various cultures reflect authors' culture, and explain the impa",2,7-8,Unknown,6a22d694-281d-4d68-8df5-03ece67a91c3,"Analyze how works of literature from various cultures reflect authors' culture, and explain the impact of these works in a larger context, citing evid"
SB-0009,delineate and evaluate the argument and specific claims in a text and determine whether the reasonin,2,8-9,Unknown,ff11f61e-e69f-e311-9503-005056801da1,Delineate and evaluate the argument and specific claims in a text and determine whether the reasoning is sound and the evidence is relevant and suffic
SB-0010,distinguish opinions by analyzing a text for words that can signal opinions such as comparative and ,2,3-4,Unknown,41324c9c-a69f-e311-9503-005056801da1,"Distinguish opinions by analyzing a text for words that can signal opinions such as comparative and superlative adjectives (e.g., better, best)"
SB-0011,match an author's claims with supporting reasons in a fourth-grade informational text,2,4-5,Unknown,3c732deb-59b3-4688-bd3b-ea7f7d361179,Match an author's claims with supporting reasons in a fourth-grade informational text
SB-0014,introduce claims in seventh-grade argumentative writing,2,7-8,Unknown,cd7d0ec1-93ef-4a79-bee0-44ea9c19c38c,Introduce claims in seventh-grade argumentative writing
SB-0015,"determine the author's purpose (e.g., to inform, describe, entertain, explain, share feelings) in an",2,3-4,Unknown,8411f61e-e69f-e311-9503-005056801da1,"Determine the author's purpose (e.g., to inform, describe, entertain, explain, share feelings) in an informational text"
SB-0017,"analyze a text's cultural, historical, and contemporary context in order to draw conclusions about t",2,10-11,Unknown,31cbaf66-734b-4b51-a07d-7d07f0ddea2b,"Analyze a text's cultural, historical, and contemporary context in order to draw conclusions about the author's purpose in an informational text"
SB-0028,"decode and encode words with hard and soft <i>c</i> (e.g., candle/cent) and <i>g</i> (e.g., glass/la",2,2-3,Unknown,377c1f18-aff7-47de-aa72-b224a854022f,"Decode and encode words with hard and soft <i>c</i> (e.g., candle/cent) and <i>g</i> (e.g., glass/large) in context and in isolation"
SB-0019,"analyze how the author uses devices and techniques (e.g., style, irony, tone, voice, mood, sound dev",2,11-12,Unknown,d0334c9c-a69f-e311-9503-005056801da1,"Analyze how the author uses devices and techniques (e.g., style, irony, tone, voice, mood, sound devices, allusions) to achieve aesthetic and rhetoric"
SB-0020,"determine the meaning of figurative language (e.g., metaphors, similes, exaggeration) used in litera",2,5-6,Unknown,8410f61e-e69f-e311-9503-005056801da1,"Determine the meaning of figurative language (e.g., metaphors, similes, exaggeration) used in literary texts"
SB-0021,"analyze the effects of sound devices (e.g., onomatopoeia, internal rhyme, rhyme scheme, alliteration",2,7-8,Unknown,9310f61e-e69f-e311-9503-005056801da1,"Analyze the effects of sound devices (e.g., onomatopoeia, internal rhyme, rhyme scheme, alliteration) on poetry and other literary texts"
SB-0022,"analyze the meanings of idioms (e.g., lose a train of thought) in appropriate prose and poetry",2,9-10,Unknown,dd314c9c-a69f-e311-9503-005056801da1,"Analyze the meanings of idioms (e.g., lose a train of thought) in grade-appropriate prose and poetry"
SB-0023,"with support, begin to segment onsets and rimes in single-syllable words (e.g., segment <i>can</i> i",2,PK-K,Unknown,9eeec89d-04be-42b7-9de0-3a9ca8abe7ec,"With support, begin to segment onsets and rimes in single-syllable words (e.g., segment <i>can</i> into the sounds /c/ /an/)"
SB-0024,evaluate the credibility of the characters and plot in a work of fiction by comparing them to prior ,2,6-7,Unknown,42334c9c-a69f-e311-9503-005056801da1,Evaluate the credibility of the characters and plot in a work of fiction by comparing them to prior experience
SB-0025,"recognize that characters are revealed through their thoughts and actions, through the thoughts of o",2,5-7,Unknown,384b019b-e12d-4e48-9054-c2411c600a1c,"Recognize that characters are revealed through their thoughts and actions, through the thoughts of other characters, through dialogue, and through the"
SB-0026,"give the reasons for a character's actions (e.g., why did she do that?)",2,K-1,Unknown,3e1bb3dd-2e14-40ff-ace2-714e8c548b20,"Give the reasons for a character's actions (e.g., why did she do that?)"
SB-0027,"with prompting and support, tell how two individuals, events, ideas, or facts in an informational te",2,K-1,Unknown,0d11f61e-e69f-e311-9503-005056801da1,"With prompting and support, tell how two individuals, events, ideas, or facts in an informational text are alike or different"
SB-0066,"change phonemes to show addition, deletion, substitution, reversal, or resequencing of sounds in wor",2,2-3,Unknown,159bb6a1-27cf-4a15-94f8-47e0665a2a5c,"Change phonemes to show addition, deletion, substitution, reversal, or resequencing of sounds in words or blends"
SB-0067,"isolate and distinguish short vowel sounds in single-syllable words in spoken language (e.g., from a",2,K-1,Unknown,b30ff61e-e69f-e311-9503-005056801da1,"Isolate and distinguish short vowel sounds in single-syllable words in spoken language (e.g., from a verbal prompt, identify that <i>hat</i> has a dif"
SB-0069,recognize the difference between first- and third-person point of view,2,3-4,Unknown,e6b3eb37-2061-4c85-a540-f257cecf5c9b,Recognize the difference between first- and third-person point of view
SB-0114,"with prompting and support, act out differences in the meanings of some words that can describe the ",2,PK-K,Unknown,94bca1be-a920-420e-b3a2-60ea59685505,"With prompting and support, act out differences in the meanings of some words that can describe the same general action (e.g., laugh, giggle)"
SB-0103,"use knowledge of appropriate roots to decode and predict the meanings of unfamiliar words (e.g., din",2,2-3,Unknown,6012f61e-e69f-e311-9503-005056801da1,"Use knowledge of grade-appropriate roots to decode and predict the meanings of unfamiliar words (e.g., dinner, dine, diner)"
SB-0105,"with prompting and support, identify the meanings of familiar base words with common inflectional fo",2,K-1,Unknown,c40ff61e-e69f-e311-9503-005056801da1,"With prompting and support, identify the meanings of familiar base words with common inflectional forms (e.g., -ed, -ing, -s, -es)"
SB-0106,"use knowledge of familiar known words to predict the meanings of compound words (e.g., paintbrush, b",2,2-3,Unknown,5e12f61e-e69f-e311-9503-005056801da1,"Use knowledge of familiar known words to predict the meanings of compound words (e.g., paintbrush, backyard)"
SB-0107,"use knowledge of appropriate latin and greek affixes (e.g., be-, circu-) and roots in familiar words",2,7-8,Unknown,9312f61e-e69f-e311-9503-005056801da1,"Use knowledge of grade-appropriate Latin and Greek affixes (e.g., be-, circu-) and roots in familiar words (e.g., urbs, phone) to predict the meanings"
SB-0108,"understand the origins and meanings of frequently used english words from other languages (e.g., fre",2,6-7,Unknown,c5314c9c-a69f-e311-9503-005056801da1,"Understand the origins and meanings of frequently used English words from other languages (e.g., French: essay)"
SB-0110,paraphrase content from more complex texts to demonstrate understanding,2,10-11,Unknown,21d6293f-b396-43dd-8dfa-b5c227830301,Paraphrase content from more complex texts to demonstrate understanding
SB-0111,analyze summaries of level or higher informational texts to determine the main ideas and identify re,2,11-12,Unknown,6511f61e-e69f-e311-9503-005056801da1,"Analyze summaries of grade-level or higher informational texts to determine the main ideas and identify relevant details (e.g., analyze an abstract to"
SB-0112,"provide an objective summary of an informational text that includes central ideas, supporting detail",2,7-9,Unknown,4411f61e-e69f-e311-9503-005056801da1,"Provide an objective summary of an informational text that includes central ideas, supporting details, and retains overall meaning"
SB-0002,"make connections between texts across various genres, providing textual evidence to support analysis",2,5-6,Unknown,8ac6b1d7-280e-42c1-b311-f7896e2c123b,"Make connections between texts across various genres, providing textual evidence to support analysis"
SB-0115,"identify and understand synonyms for appropriate words (e.g., aid/help, describe/explain)",2,5-8,Unknown,bb314c9c-a69f-e311-9503-005056801da1,"Identify and understand synonyms for grade-appropriate words (e.g., aid/help, describe/explain)"
SB-0100,use knowledge of second-grade prefixes and base words to predict the meanings of unfamiliar words,2,2-4,Unknown,c348d1e0-b8d1-4654-b811-9b06ac73accc,Use knowledge of second-grade prefixes and base words to predict the meanings of unfamiliar words
SB-0116,analyze and explain the importance of subtle differences in meaning between appropriate synonyms (e.,2,9-10,Unknown,aa12f61e-e69f-e311-9503-005056801da1,"Analyze and explain the importance of subtle differences in meaning between grade-appropriate synonyms (e.g., replica/reproduction) in context"
SB-0117,"read and interpret texts in print and digital formats that employ varying styles, fonts, graphics, a",2,3-4,Unknown,1d9099c3-ac98-49e1-bab8-d95c89830ff7,"Read and interpret texts in print and digital formats that employ varying styles, fonts, graphics, and symbols"
SB-0118,"locate information in simple graphical text features (e.g., illustrations, maps, timelines, tables, ",2,4-5,Unknown,49324c9c-a69f-e311-9503-005056801da1,"Locate information in simple graphical text features (e.g., illustrations, maps, timelines, tables, charts)"
SB-0119,analyze the controlling idea of a poem and how it is elaborated,2,9-10,Unknown,6c334c9c-a69f-e311-9503-005056801da1,Analyze the controlling idea of a poem and how it is elaborated
SB-0120,expand knowledge of general academic and content-area vocabulary independently and apply this knowle,2,11-12,Unknown,ba12f61e-e69f-e311-9503-005056801da1,"Expand knowledge of general academic and content-area vocabulary independently and apply this knowledge correctly when reading, writing, speaking, and"
SB-0121,"use appropriate general academic and content-area vocabulary correctly in context, expanding vocabul",2,7-8,Unknown,9212f61e-e69f-e311-9503-005056801da1,"Use grade-appropriate general academic and content-area vocabulary correctly in context, expanding vocabulary to include words or phrases of particula"
SB-0123,determine or clarify the pronunciations and precise meanings of key words and phrases by consulting ,2,4-5,Unknown,6f12f61e-e69f-e311-9503-005056801da1,Determine or clarify the pronunciations and precise meanings of key words and phrases by consulting reference materials such as print or online dictio
SB-0124,alphabetize words to the first or second letter,2,1-2,Unknown,34894a01-a0d3-4064-8524-1a2bdacc433b,Alphabetize words to the first or second letter
SB-0125,efficiently use a range of strategies to determine or clarify the precise meanings of general academ,2,7-8,Unknown,9f11f61e-e69f-e311-9503-005056801da1,Efficiently use a range of strategies to determine or clarify the precise meanings of general academic and content-area words and phrases in grade-app
SB-0102,"use knowledge of simple affixes (e.g., un-, re-, over-, -er, -est) and familiar base words to decode",2,2-3,Unknown,5f12f61e-e69f-e311-9503-005056801da1,"Use knowledge of simple affixes (e.g., un-, re-, over-, -er, -est) and familiar base words to decode and predict the meanings of new words"
SB-0099,"spell words using knowledge of syllable division patterns (e.g., pillow, chicken, believe, farmer)",2,2-4,Unknown,68e6a632-d1cc-4d0e-bbd6-2ab192277eba,"Spell words using knowledge of syllable division patterns (e.g., pillow, chicken, believe, farmer)"
SB-0070,describe how the narrator's first-person point of view influences a second-grade literary text,2,2-3,Unknown,96b07d15-b9ce-4a4e-88bb-9a6865aec68c,Describe how the narrator's first-person point of view influences a second-grade literary text
SB-0082,demonstrate responsible and ethical use of information and communication technologies by knowing the,2,11-12,Unknown,c7ebd7b1-49a0-47fd-98d0-2d8d01f5d1aa,Demonstrate responsible and ethical use of information and communication technologies by knowing the kinds of information that should not be publicly 
SB-0072,read and appreciate english literature by rereading literature and other writing,2,9-10,Unknown,6b40c225-3800-e411-9e54-005056801da1,Read and appreciate English literature by rereading literature and other writing
SB-0073,establish purpose for reading and apply an understanding of that purpose to guide focus while readin,2,7-8,Unknown,31045263-b897-41eb-abb5-e07b3359f4f8,Establish purpose for reading and apply an understanding of that purpose to guide focus while reading a grade-appropriate text
SB-0075,"adjust reading pace, expression, and phrasing when reading level texts aloud based on reading purpos",2,7-8,Unknown,b5ee2b1c-e430-4394-a995-6119bf2bd21f,"Adjust reading pace, expression, and phrasing when reading grade-level texts aloud based on reading purpose and the nature of the text"
SB-0076,"reread, with increased fluency and confidence, familiar books that consist of words with taught grap",2,K-1,Unknown,4f40c225-3800-e411-9e54-005056801da1,"Reread, with increased fluency and confidence, familiar books that consist of words with taught grapheme-phoneme correspondences, including regular an"
SB-0077,"identify and read appropriate abbreviations (e.g., dr., ave.)",2,3-4,Unknown,b44eb4e5-9f15-42f6-8698-ea3b38dc4e40,"Identify and read grade-appropriate abbreviations (e.g., Dr., Ave.)"
SB-0078,select from a wide range of note-taking strategies to choose the most useful note form for the purpo,2,9-10,Unknown,c640c225-3800-e411-9e54-005056801da1,Select from a wide range of note-taking strategies to choose the most useful note form for the purpose
SB-0079,use different techniques to aid understanding and to locate information in a text quickly and accura,2,4-6,Unknown,3441c225-3800-e411-9e54-005056801da1,"Use different techniques to aid understanding and to locate information in a text quickly and accurately (e.g., skimming, scanning, and close reading)"
SB-0080,"begin to evaluate informational texts, deciding on value, quality, or usefulness (e.g., looking for ",2,7-8,Unknown,a53dc225-3800-e411-9e54-005056801da1,"Begin to evaluate informational texts, deciding on value, quality, or usefulness (e.g., looking for possible bias and comparing different sources on t"
SB-0081,"develop an understanding of people, cultures, and societies and explore self-identity through litera",2,4-5,Unknown,08f72be3-35f5-4a20-86ed-6eb90cf45075,"Develop an understanding of people, cultures, and societies and explore self-identity through literature, media, and oral tradition"
SB-0083,"show familiarity with age-appropriate language for the discussion of fiction (e.g., author, characte",2,K-2,Unknown,d840c225-3800-e411-9e54-005056801da1,"Show familiarity with age-appropriate language for the discussion of fiction (e.g., author, character)"
SB-0098,demonstrate and apply spelling knowledge by marking accents appropriately when conjugating four appr,2,4-6,Unknown,63a96d40-9f08-4558-b2d2-eba757e6dd34,"Demonstrate and apply spelling knowledge by marking accents appropriately when conjugating grade-four appropriate verbs (e.g., simple and imperfect pa"
SB-0084,"with prompting and support, sequence events from an informational text (e.g., retell events in order",2,K-1,Unknown,0c11f61e-e69f-e311-9503-005056801da1,"With prompting and support, sequence events from an informational text (e.g., retell events in order, draw pictures)"
SB-0085,demonstrate and apply spelling knowledge by spelling words accurately that contain <i>sílabas trabad,2,3-6,Unknown,e4eb3855-044f-4161-a1b3-6402feced6d0,Demonstrate and apply spelling knowledge by spelling words accurately that contain <i>sílabas trabadas</i>
SB-0086,"spell appropriate words using knowledge of suffixes and how base words can change, such as dropping ",2,4-5,Unknown,8f4197e1-df40-41cd-923a-18487e3698df,"Spell grade-appropriate words using knowledge of suffixes and how base words can change, such as dropping e, changing y to i, and doubling final conso"
SB-0087,"spell appropriate words with digraphs or trigraphs (e.g., think, high, catch, store)",2,1-2,Unknown,5e83a8ff-5849-4094-a8d3-efb1e90bdac9,"Spell grade-appropriate words with digraphs or trigraphs (e.g., think, high, catch, store)"
SB-0089,"demonstrate and apply spelling knowledge by spelling words with common syllabic patterns (e.g., cv, ",2,K-1,Unknown,26bf7d86-541c-4992-8abb-5d5cef8f27ad,"Demonstrate and apply spelling knowledge by spelling words with common syllabic patterns (e.g., CV, VC, CCV, CVC, VCV, CVCV, CCVCV, and CVCCV)"
SB-0091,"demonstrate and apply spelling knowledge by spelling words with silent ""h"" and words that use the sy",2,2-3,Unknown,3a871895-d41e-4188-a2fc-51bb5b33917b,"Demonstrate and apply spelling knowledge by spelling words with silent ""h"" and words that use the syllables <i>que-, qui-, gue-, gui-, güe-</i>, and <"
SB-0093,"spell multisyllabic words with closed syllable patterns including complex closed syllables (e.g., ad",2,4-5,Unknown,07eabc8f-af5f-4118-87ac-aec92cd0b554,"Spell multisyllabic words with closed syllable patterns including complex closed syllables (e.g., adjust)"
SB-0094,demonstrate and apply spelling knowledge by spelling words with diphthongs and hiatus,2,2-5,Unknown,1e649ec3-976b-4a4f-a835-c93add993f43,Demonstrate and apply spelling knowledge by spelling words with diphthongs and hiatus
SB-0097,"spell appropriate words using knowledge of prefixes (e.g., reread, misunderstand, undone)",2,3-4,Unknown,de137ea5-0c51-4d76-b76c-79e4f2c9b787,"Spell grade-appropriate words using knowledge of prefixes (e.g., reread, misunderstand, undone)"
SB-0224,use knowledge of all letter-sound correspondences and syllabication patterns to accurately read unfa,2,7-8,West Virginia College- and Career-Readiness Standards for English Language Arts,5480e567-f642-4f75-98a1-6aaaf7215ac7,"Use knowledge of all letter-sound correspondences and syllabication patterns to accurately read unfamiliar multisyllabic words in context (e.g., tempe"
